,Filler,Finish,Grills,Norton Misc.,Numbers,Prefinished Flooring,Sandpaper,Sandpaper-Belts,Sandpaper-Buffer,Sandpaper-Edger,Sandpaper-Screens,Stair Treads,Unfinished Flooring,Unfinished Trim
2019-05-07,3143.310000000001,59047.40099999999,4405.505999999999,164.832,17163.860000000004,69915.81,5471.382,4916.341,3010.118000000001,9400.793000000001,5033.225000000001,1971.9859999999999,85321.02,15218.520000000002
2019-05-08,3143.310000000001,59289.585999999996,4391.5779999999995,164.832,17163.860000000004,74441.25,5300.754,4881.691,2984.6610000000005,9400.793000000001,4951.651000000002,1971.9859999999999,84293.93299999999,15156.676000000003
2019-05-09,3143.310000000001,54997.477,4391.5779999999995,164.832,16730.885000000002,74441.25,5300.754,4744.058,2831.5620000000004,8542.970000000001,4623.993,1971.9859999999999,79889.01499999998,14890.577000000003
2019-05-10,3143.310000000001,54853.121999999996,4659.078,164.832,16745.277000000002,74441.25,5300.754,4744.058,2831.5620000000004,8542.970000000001,4584.898000000001,1971.9859999999999,79889.01499999998,14890.577000000003
2019-05-11,3107.1570000000006,55704.586,4659.078,164.832,15821.028,73978.787,5300.754,4744.058,2822.75,8542.970000000001,4581.638000000001,1971.9859999999999,79889.01499999998,14899.442000000005
2019-05-12,3107.1570000000006,55704.586,4659.078,164.832,15821.028,73978.787,5300.754,4744.058,2822.75,8542.970000000001,4581.638000000001,1971.9859999999999,79889.01499999998,14899.442000000005
2019-05-13,3107.1570000000006,55704.586,4659.078,164.832,15821.028,73978.787,5300.754,4744.058,2822.75,8542.970000000001,4581.638000000001,1971.9859999999999,79889.01499999998,14899.442000000005
2019-05-14,3107.1570000000006,55634.734000000004,4659.078,164.832,19633.077999999998,72701.491,5300.754,4551.298,2834.3,8987.309000000001,4635.0380000000005,1971.9859999999999,79889.01499999998,16192.594000000005
2019-05-15,3071.3250000000007,54315.96,4721.435,164.832,19633.077999999998,78620.401,5300.754,4537.438,2834.3,8941.512,4617.158,1971.9859999999999,122124.187,16158.613000000003
2019-05-16,3071.3250000000007,54200.619,4721.435,159.68099999999998,19633.077999999998,76448.99799999999,5300.754,4537.438,2834.3,8941.512,4617.158,1971.9859999999999,122124.187,16145.790000000003
2019-05-17,3071.3250000000007,53771.66500000001,4721.435,159.68099999999998,19633.077999999998,74022.136,5300.754,4530.508,2834.3,8807.901000000002,4617.158,1971.9859999999999,122124.187,15741.375000000002
2019-05-18,3034.653000000001,53208.164,4721.435,159.68099999999998,19591.74,73952.21399999999,5300.754,4530.508,2834.3,8741.647,4617.158,1971.9859999999999,122124.187,15557.860000000002
2019-05-19,3034.653000000001,53208.164,4721.435,159.68099999999998,19591.74,73952.21399999999,5300.754,4530.508,2834.3,8741.647,4617.158,1971.9859999999999,122124.187,15557.860000000002
2019-05-20,3034.653000000001,53208.164,4721.435,159.68099999999998,19591.74,73952.21399999999,5300.754,4530.508,2834.3,8741.647,4617.158,1971.9859999999999,122124.187,15557.860000000002
2019-05-21,2282.4640000000004,107371.015,4636.251,154.53,19591.74,86347.33899999999,5526.554,4521.7480000000005,2828.899,8731.735,4487.419000000001,1971.9859999999999,119425.33600000001,15557.860000000002
